-11.886	-1.4991	8.8872	19.274	31.641	45.989	60.337	79.054	83.827	88.6	92.799	94.726	96.653	98.58	100.51	102.43	103.82	105.22	107.19	109.75	112.31	113.96	115.61	117.25	118.87	120.49	121.96	123.43	124.89	126.36	127.83	128.22	128.62	129.01	129.4	129.79	130.18	130.57	130.96	131.35	131.74	132.13	132.52	132.91	133.3	133.69	134.07	134.46	134.85	135.24	135.63	136.02	136.41	136.8	137.19	137.58	137.97	138.36	138.75	139.13	139.52	139.91	140.3	140.69	141.08	141.46	141.85	142.24	142.63	143.02	143.41	143.8	144.19	144.58	144.96	145.35	145.55	145.74	145.93	146.12	146.32	146.51	146.7	146.9	147.09	147.28
-11.919	-1.5333	8.8525	19.238	31.6	45.939	60.277	78.999	83.78	88.561	92.78	94.71	96.639	98.569	100.5	102.43	103.83	105.22	107.2	109.76	112.32	113.98	115.64	117.27	118.89	120.51	121.97	123.44	124.91	126.38	127.84	128.23	128.63	129.02	129.41	129.8	130.19	130.58	130.97	131.36	131.75	132.14	132.53	132.92	133.31	133.7	134.09	134.48	134.87	135.26	135.65	136.04	136.43	136.82	137.21	137.6	137.99	138.38	138.76	139.15	139.54	139.93	140.32	140.71	141.1	141.48	141.87	142.26	142.65	143.04	143.43	143.82	144.21	144.6	144.99	145.37	145.57	145.76	145.95	146.15	146.34	146.53	146.72	146.92	147.11	147.3
-11.953	-1.5674	8.8178	19.203	31.56	45.888	60.217	78.943	83.732	88.521	92.76	94.693	96.625	98.557	100.49	102.42	103.83	105.23	107.22	109.78	112.34	114	115.66	117.29	118.91	120.53	121.99	123.46	124.92	126.39	127.85	128.25	128.64	129.03	129.43	129.82	130.21	130.6	130.99	131.38	131.77	132.16	132.55	132.94	133.33	133.72	134.11	134.5	134.89	135.28	135.67	136.06	136.45	136.84	137.23	137.62	138.01	138.39	138.78	139.17	139.56	139.95	140.34	140.73	141.12	141.51	141.89	142.28	142.67	143.06	143.45	143.84	144.23	144.62	145.01	145.4	145.59	145.78	145.97	146.17	146.36	146.55	146.75	146.94	147.13	147.32
-11.986	-1.6015	8.7831	19.168	31.519	45.838	60.156	78.887	83.684	88.482	92.741	94.676	96.611	98.546	100.48	102.42	103.83	105.24	107.23	109.8	112.36	114.02	115.68	117.32	118.93	120.55	122.01	123.47	124.94	126.4	127.86	128.26	128.65	129.04	129.44	129.83	130.22	130.61	131	131.39	131.78	132.17	132.56	132.95	133.34	133.73	134.12	134.51	134.9	135.29	135.68	136.07	136.46	136.85	137.24	137.63	138.02	138.41	138.8	139.19	139.58	139.97	140.36	140.75	141.14	141.53	141.91	142.3	142.69	143.08	143.47	143.86	144.25	144.64	145.03	145.42	145.61	145.8	146	146.19	146.38	146.57	146.77	146.96	147.15	147.34
-12.02	-1.6357	8.7483	19.132	31.479	45.787	60.096	78.831	83.637	88.442	92.721	94.659	96.597	98.535	100.47	102.41	103.83	105.25	107.25	109.81	112.38	114.04	115.7	117.34	118.95	120.57	122.03	123.49	124.95	126.41	127.88	128.27	128.66	129.06	129.45	129.85	130.24	130.63	131.02	131.41	131.8	132.19	132.58	132.97	133.36	133.75	134.14	134.53	134.92	135.31	135.7	136.09	136.48	136.87	137.26	137.65	138.04	138.43	138.82	139.21	139.6	139.99	140.38	140.77	141.16	141.55	141.94	142.32	142.71	143.1	143.49	143.88	144.27	144.66	145.05	145.44	145.63	145.83	146.02	146.21	146.4	146.6	146.79	146.98	147.17	147.37
-12.053	-1.6698	8.7136	19.097	31.438	45.737	60.036	78.775	83.589	88.403	92.702	94.642	96.583	98.523	100.46	102.4	103.83	105.26	107.26	109.83	112.4	114.06	115.72	117.36	118.97	120.58	122.05	123.51	124.97	126.43	127.89	128.28	128.68	129.07	129.46	129.86	130.25	130.64	131.03	131.42	131.81	132.2	132.59	132.98	133.37	133.76	134.15	134.54	134.94	135.33	135.72	136.11	136.5	136.89	137.28	137.67	138.06	138.45	138.84	139.23	139.62	140.01	140.4	140.79	141.18	141.57	141.96	142.35	142.73	143.12	143.51	143.9	144.29	144.68	145.07	145.46	145.65	145.85	146.04	146.23	146.42	146.62	146.81	147	147.19	147.39
-12.087	-1.7039	8.6789	19.062	31.398	45.687	59.976	78.719	83.541	88.363	92.682	94.625	96.569	98.512	100.46	102.4	103.83	105.27	107.27	109.85	112.42	114.08	115.75	117.38	118.99	120.6	122.06	123.52	124.98	126.44	127.9	128.29	128.69	129.08	129.48	129.87	130.26	130.65	131.04	131.43	131.83	132.22	132.61	133	133.39	133.78	134.17	134.56	134.95	135.34	135.73	136.12	136.52	136.91	137.3	137.69	138.08	138.47	138.86	139.25	139.64	140.03	140.42	140.81	141.2	141.59	141.98	142.37	142.76	143.15	143.54	143.93	144.31	144.7	145.09	145.48	145.68	145.87	146.06	146.25	146.45	146.64	146.83	147.02	147.22	147.41
-12.12	-1.7381	8.6442	19.026	31.357	45.636	59.915	78.664	83.494	88.324	92.663	94.609	96.555	98.501	100.45	102.39	103.84	105.28	107.29	109.86	112.43	114.1	115.77	117.4	119.01	120.62	122.08	123.54	124.99	126.45	127.91	128.3	128.7	129.09	129.49	129.89	130.28	130.67	131.06	131.45	131.84	132.23	132.62	133.01	133.4	133.79	134.19	134.58	134.97	135.36	135.75	136.14	136.53	136.92	137.32	137.71	138.1	138.49	138.88	139.27	139.66	140.05	140.44	140.83	141.22	141.61	142	142.39	142.78	143.17	143.56	143.95	144.34	144.73	145.12	145.51	145.7	145.89	146.08	146.28	146.47	146.66	146.85	147.04	147.24	147.43
-12.154	-1.7722	8.6095	18.991	31.317	45.586	59.855	78.608	83.446	88.284	92.643	94.592	96.54	98.489	100.44	102.39	103.84	105.29	107.3	109.88	112.45	114.12	115.79	117.43	119.03	120.64	122.1	123.55	125.01	126.46	127.92	128.32	128.71	129.11	129.5	129.9	130.29	130.68	131.07	131.46	131.85	132.25	132.64	133.03	133.42	133.81	134.2	134.59	134.98	135.38	135.77	136.16	136.55	136.94	137.33	137.72	138.11	138.5	138.89	139.29	139.68	140.07	140.46	140.85	141.24	141.63	142.02	142.41	142.8	143.19	143.58	143.97	144.36	144.75	145.14	145.53	145.72	145.91	146.1	146.3	146.49	146.68	146.87	147.07	147.26	147.45
-12.187	-1.8063	8.5748	18.956	31.276	45.535	59.795	78.552	83.398	88.245	92.623	94.575	96.526	98.478	100.43	102.38	103.84	105.3	107.32	109.89	112.47	114.14	115.81	117.45	119.06	120.66	122.12	123.57	125.02	126.48	127.93	128.33	128.72	129.12	129.52	129.91	130.3	130.7	131.09	131.48	131.87	132.26	132.65	133.04	133.43	133.83	134.22	134.61	135	135.39	135.78	136.18	136.57	136.96	137.35	137.74	138.13	138.52	138.91	139.3	139.69	140.08	140.48	140.87	141.26	141.65	142.04	142.43	142.82	143.21	143.6	143.99	144.38	144.77	145.16	145.55	145.74	145.93	146.13	146.32	146.51	146.7	146.89	147.09	147.28	147.47
