car,0,3.709107,1.045157,1.798334,1.434626,MediumSedan,4.754264,1.596668,2.977615885,
,1,3.469353,0.704543,0.887575,1.474496,HatchBackG,4.173896,1.77515,2.351292003,
,2,3.469353,0.704543,0.887575,1.474496,HatchBackR,4.173896,1.77515,2.351292003,
,3,3.709107,1.05844,0.86432,1.434626,MediumSedan2,4.767547,1.72864,2.757975634,
,4,3.469353,0.704543,0.887575,1.474496,HatchBackB,4.173896,1.77515,2.351292003,
,5,3.469353,0.704543,0.887575,1.474496,2HatchBackG,4.173896,1.77515,2.351292003,
,6,3.469353,0.704543,0.887575,1.474496,3HatchBackG,4.173896,1.77515,2.351292003,
,7,3.709107,1.05844,0.86432,1.434626,MEDIUM_SEDAN2,4.767547,1.72864,2.757975634,
,10,14.836429,4.233759,3.457281,5.738503,MEDIUM_SEDAN3,19.070188,6.914562,2.757974836,
,43,3.469353,0.704543,0.887575,1.474496,HatchBack_B,4.173896,1.77515,2.351292003,
,44,3.469353,0.704543,0.887575,1.474496,HatchBackB_Red_Large,4.173896,1.77515,2.351292003,ͬHatchBackR
,45,3.469353,0.704543,0.887575,1.474496,HatchBackB_Red_Small,4.173896,1.77515,2.351292003,ͬHatchBackR
,46,3.469353,0.704543,0.887575,1.474496,HatchBackB_Yellow_Large,4.173896,1.77515,2.351292003,
,47,3.469353,0.704543,0.887575,1.474496,HatchBackB_Yellow_Small,4.173896,1.77515,2.351292003,ͬHatchBackB_Yellow_Large
truck,100,4.628,1.546,1.083454,3.1453,TRUCK1,6.174,2.166908,2.849221102,
,101,4.628,1.546,1.083454,3.1453,TRUCK2,6.174,2.166908,2.849221102,
bus,150,7.73,2.549999,1.24805,3.255635,BUS1,10.279999,2.4961,4.118424342,
,151,7.73,2.549999,1.24805,3.255635,BUS2,10.279999,2.4961,4.118424342,
selfcar,1000,3.3,1.2,0.9,1.434626,MEDIUM_SEDAN2,4.5,1.8,2.5,
motor,200,1.6266,,0.80529,1.115,KAWASAKI Ninja ZX-250R,2.085,0.715,2.92,
